Max Temp,Min Temp,Wind Direction,Wind Speed,Sun Hours,Rel. Humidity,Rain Amount,Outcome
15.2,10.5,340,9.7,8.5,92,0,0
16.7,11.9,345,6.8,1,89,0.6,1
13.6,9.2,351,6.8,0,85,3.6,1
15.1,8.3,146,11.2,5.5,92,6.4,1
11,7.2,215,24.1,1.9,71,2.6,1
11.2,2.3,4,2.9,8.2,91,0,0
13,1.8,227,4.7,7.2,87,0,0
13.5,6.3,152,13.3,5.6,74,1.2,1
12.1,9.1,150,11.2,0,77,0,0
16.6,5.6,165,2.9,3.7,95,0,0
16.4,9.8,344,9.7,5.6,91,1.4,1
16,4.4,318,3.2,4.2,93,0,0
14.9,10,83,3.6,3.6,70,0,0
15.6,4.9,284,3.2,4.7,93,0,0
17.2,4.5,247,2.5,10.2,96,0,0
16.8,4.5,236,3.6,10.2,96,0,0
15.7,5.5,231,7.9,10.3,84,0,0
15.7,7.8,226,6.8,8.5,82,0,0
16.9,4.5,96,2.2,2.3,92,0,0
15.8,8.5,58,11.5,8.2,89,0,0
16.5,10.1,263,3.6,3.9,86,0,0
16.2,8.5,71,4.3,8.5,94,0,0
15.3,10.6,26,9.4,0,96,33.6,1
18.1,13.3,303,24.1,0,83,28,1
18.7,11.7,258,35.3,0.4,74,1.6,1
16.5,8.8,245,4.3,5.9,80,0,0
17,8.3,168,14.8,9.2,80,0,0
14.6,10.6,238,15.5,0.9,83,6,1
16.8,8.3,241,2.9,9.2,78,0,0
17.5,6.9,12,2.9,10.7,86,0,0
15.3,9.8,326,10.4,4.2,89,0,0
19.4,13.2,261,16.9,4.8,83,0.6,1
18,13.3,14,7.9,1.5,88,0,0
19.3,13.7,271,37.1,1,73,11.8,1
16.7,11.7,237,28.1,5.6,80,0.4,1
16,10.4,277,19.8,6,78,0,0
17.3,7.8,175,6.1,2.9,80,6.6,1
10.9,6.3,196,22.7,4,52,0.4,1
12.8,7.1,190,12.2,10.5,66,0,0
14.6,4,209,6.1,11.1,70,0,0
16.8,4.3,40,2.9,11.2,80,0,0
16.6,5.9,303,7.6,7.4,78,0,0
17.6,10.8,308,8.6,6.8,88,0,0
19.7,12.5,322,10.1,5.2,87,2.8,1
15.2,13.1,41,10.1,0,92,8.6,1
20.7,14.8,23,22.3,1.5,84,0,0
16.4,12.8,303,32.8,0,93,16,1
16.6,12.8,244,26.6,1.8,87,0.2,1
16.3,9,120,3.6,4.4,81,0.2,1
16,12.2,98,11.9,1,81,25.6,1
16.5,11.2,160,10.4,1,82,0,0
18,13.6,59,12.6,2.2,86,0.4,1
18.8,13.2,50,19.1,1.7,81,0.4,1
17.3,13.5,87,11.2,0.4,94,33,1
16.4,12.5,103,6.1,0,87,30.2,1
18.9,12.8,112,9.7,1.2,83,0,0
20.4,13.1,161,5,5.1,91,1.4,1
16.1,11.8,196,2.9,0,96,29.6,1
20.2,12.2,92,3.6,5.2,91,0.2,1
19.7,13.5,46,12.2,3.3,85,5.2,1
17.7,15.1,17,28.8,0.1,94,6.6,1
18.3,10.5,318,8.3,0.9,95,8.4,1
18.9,12.1,310,5.8,6.2,82,2,1
19,12.8,244,42.5,3.3,78,11,1
18.6,14,329,13.7,7.3,76,0,0
16.9,10.5,297,17.6,3.1,80,8.4,1
16.1,11.4,256,27.4,5.8,66,3.4,1
19.7,14,301,25.6,10.2,81,0,0
17.6,11.3,130,9.4,1.4,76,1.8,1
16,11.1,59,12.6,0,86,0.4,1
20.3,15,316,8.6,6.1,93,1.2,1
19.4,11.1,232,16.6,1.5,67,0,0
18,9.7,342,13.3,12,70,0,0
18,9.5,8,9.7,4.2,84,5.8,1
16.2,11.1,242,29.5,7.1,75,2,1
17.3,13.2,242,35.3,6.1,81,0,0
18,11.2,233,14,10.8,73,0,0
18.3,11.2,298,8.3,11.9,79,0,0
21.8,15.1,312,11.9,6.3,84,0,0
21.6,12.6,217,24.1,1.7,71,1.4,1
17.3,11.4,194,15.5,9.8,74,0,0
17.2,10.4,152,9,12.2,66,0,0
19.3,11.9,37,11.5,10.3,75,0,0
18.6,15,12,8.6,0.8,90,1,1
18.3,12,326,16.6,0.4,82,7.2,1
18.6,13.3,268,16.9,4.3,80,2,1
18.8,11.8,280,14.4,9.2,72,0.2,1
20.5,13.3,220,29.9,8.5,70,6.6,1
17.9,11.2,208,19.8,7.9,64,0,0
16.2,6.6,79,5.4,11.2,64,0,0
17.7,7.4,302,8.3,8.5,73,0,0
20.8,13,328,19.8,9.2,72,0,0
18.6,12.3,222,16.9,6.3,68,0.2,1
18.7,11.3,224,22.7,10.3,88,2.2,1
17.4,11.4,286,16.6,6.1,80,0,0
20.2,13.9,306,16.2,7.4,79,1,1
23.4,12.1,27,23,5.2,88,15.8,1
19.1,12.1,233,51.1,3.5,81,13.2,1
18.1,14.1,221,22,8.3,81,0,0
20.4,15.3,245,14.8,8,76,0,0
22.3,15.3,328,10.8,8.6,78,0,0
21.2,14.8,268,20.2,3.4,84,2.4,1
17.8,13.2,235,31,0.2,65,0.6,1
18.2,12,24,15.1,5.7,66,0,0
19.2,16.7,30,25.6,4.8,92,1.4,1
19.4,15,271,19.8,0,90,12.4,1
19.7,11.1,276,24.8,6.3,81,17.2,1
17.7,10.5,176,9.4,6.6,60,3.4,1
18.6,13.7,276,23,11.4,84,0,0
18.4,14.7,225,37.4,0,57,0,0
19.4,13.4,214,25.2,8.6,63,0,0
19.9,13.6,216,21.2,12.3,72,0,0
20.2,13,193,14,13.7,72,0,0
20.3,14,230,7.6,11,73,0,0
24.7,16.6,24,18.4,11,87,0,0
20,13.3,311,8.6,0.1,80,8.6,1
21.9,14.2,293,29.9,8.2,69,0,0
19.7,12.2,240,47.9,4.3,67,0.8,1
19.1,13.7,232,22,8.6,72,0,0
19.8,15,278,9.4,1.6,72,0,0
20.7,11,274,4,3.2,77,0,0
22.1,13.6,282,5.8,11.1,78,0,0
21.7,14.5,135,6.1,4.9,54,0,0
21.4,14.5,226,15.1,10.6,60,0,0
20.8,15.8,147,4.3,11.9,71,0,0
24.6,14.7,26,9.4,13.2,70,0,0
24.9,16.3,39,18,12.5,77,0,0
22.4,15.7,33,18.7,3.3,92,5,1
19,15.5,96,4.3,0,86,1.2,1
24.9,18.3,36,16.6,6.4,90,0,0
21.5,12.2,246,42.1,0.4,67,4.8,1
19.5,12.7,245,24.1,8.4,90,9.4,1
19.6,13.3,201,16.6,5.6,56,0.4,1
19.5,13.9,265,20.5,10.1,68,0,0
19.4,15.4,303,17.6,1.3,77,0,0
22.1,14.9,224,34.6,3.3,57,0,0
19.4,14.9,192,14,11.7,63,0,0
21.1,10.9,62,4.7,10.8,77,0,0
24.5,15.9,321,13.7,7.7,77,0,0
23.7,14.2,198,14.4,2.3,57,0.6,1
21.3,11.1,53,14,13.3,70,0,0
24.4,16,29,12.2,13.9,82,0,0
24.6,14.6,227,33.8,8.8,61,10.8,1
19.8,13.5,223,28.1,8.5,71,0.8,1
20.1,14.9,216,23.8,6,66,0,0
20.6,15,205,15.5,1.8,64,0,0
22.6,14.9,224,18,9.6,72,0,0
20.3,16.5,250,18.4,0.3,91,0,0
21.8,14.8,233,28.1,3.9,67,0,0
18.6,11.3,247,6.5,1.2,76,0,0
22.1,11.6,88,4.3,13.4,65,0,0
23.5,15.7,321,8.3,7.1,75,0,0
24.7,17.2,299,15.8,6.9,84,0,0
23.3,18.2,332,10.8,0.1,97,1.6,1
23.6,16.2,232,27.4,0.3,90,1.4,1
20.4,14.1,186,18.4,4.2,43,0,0
19.7,10,289,12.2,14,62,0,0
21.7,14.8,234,23.4,12.8,64,0,0
21,15.8,224,26.3,8.7,73,0,0
21.8,15.8,233,33.1,6.7,70,0,0
22.3,15.5,255,22.7,10.9,85,0,0
23.8,17.1,248,27.7,1.8,96,0,0
23.6,13,292,10.8,7.1,94,0,0
25.2,18.6,298,29.2,11.1,82,0,0
21.7,15.1,241,10.4,7,73,1,1
23.6,18.4,310,18,9.6,89,0,0
23.9,17,220,30.6,0.1,69,0,0
21.4,16.3,,,12.2,-,0,0
21.6,16.4,256,16.6,11.2,78,0,0
23,16.9,6,13.3,5.7,76,0,0
20.7,14.3,242,35.3,3.9,70,7.2,1
21.4,11.1,60,9.7,11,74,0,0
21.9,15.3,293,27,4,82,23.2,1
22.2,15.2,249,43.2,7.7,70,0.4,1
21.3,16.1,222,19.1,6.9,61,0,0
22.2,15,305,12.6,10.1,75,0,0
21.9,14.7,212,23.4,1.4,64,1.6,1
21,16,224,16.2,12.2,63,0,0
21.8,16.4,206,18,9.9,69,0,0
22.9,12.7,248,4.7,12.9,90,0,0
23,15.9,209,13.3,12.5,70,0,0
23.3,18.3,3,2.5,12.7,79,0,0
24,16.6,307,9.7,5.9,75,0,0
25,17.6,340,9,5.4,85,0,0
24.9,18.6,302,14.4,2.5,94,0.4,1
23.4,15.8,229,20.9,5.5,71,0,0
22.5,16.6,207,18.4,12.6,71,0,0
24.1,13.6,27,4,11.8,87,0,0
25.8,17.8,271,15.5,13,82,0,0
26.9,18,202,19.1,8,77,0,0
21.7,14.6,103,6.5,0,70,1.2,1
22.5,12.2,133,1.4,3.7,92,15,1
22.9,14.4,215,16.9,5.1,65,0.2,1
22.1,14.4,19,4,11.1,78,0,0
24.3,13.7,290,29.5,2,82,0,0
25.3,16,271,2.5,1.2,94,0.4,1
19.3,14.2,163,9,0,81,3.2,1
22.6,14.6,162,5.8,4.2,92,6.4,1
17,13.8,57,7.2,0,-,42.4,1
22.7,15.4,172,6.5,1,86,3.8,1
25.6,16.2,52,7.6,4.9,89,0.4,1
25.4,16.9,65,15.1,8.6,74,0,0
25.3,14.2,115,4.3,8.2,74,0,0
24.4,15.5,307,8.6,7,75,0,0
24.3,15.2,191,7.9,7.9,87,0,0
26,17.5,120,4.3,8.5,83,0,0
26,17.3,312,4.7,6.4,86,0,0
25.2,17.7,187,10.8,11.1,74,0,0
25,14.3,115,3.6,10.5,86,0,0
26.5,16.2,100,4.3,10.2,83,0,0
25.8,16.3,108,4,5.9,88,0,0
25.4,18.4,206,12.2,4.5,76,0,0
22.9,15.8,35,3.6,9.8,72,0,0
23,17.2,262,16.2,11,78,0,0
24.3,18.3,216,18,8.2,84,0.2,1
22.3,17.1,236,15.1,6.2,67,0,0
23.8,15.9,68,9.7,9,86,0,0
22.2,13.6,114,15.1,0,85,40.2,1
20.8,14,133,7.6,0.2,78,4.8,1
22.9,18.4,65,23,3.4,78,0,0
23,16.1,4,12.2,0.3,90,101.3,1
23,16.6,34,25.6,1,88,4.9,1
20.6,16.2,263,26.3,0.3,88,39.2,1
22,16,242,24.1,9.2,70,0,0
21.2,12.8,169,9,7.2,73,0,0
22.2,11.3,327,1.1,11.5,81,0,0
24.3,13.1,95,2.5,11.2,91,0,0
24,15.6,199,7.9,5.4,86,0,0
22.2,13.5,204,4,8,85,0,0
24.4,12.5,352,3.6,11.4,90,0,0
22.7,16,221,27.4,5,84,0,0
22.2,17.5,232,15.8,3.7,86,0,0
23.5,19,254,14.4,7.5,90,0,0
22.3,14.9,62,2.5,4.8,90,0.2,1
23.9,16.6,359,4,2.8,89,0,0
23.7,17.5,60,14,3.3,85,0.2,1
23.6,15.6,6,6.8,3.6,87,55,1
24,16.3,76,3.2,3.5,92,7.2,1
25.8,15.4,290,14.4,9,88,42,1
19,14.9,268,6.5,0,88,16,1
22.4,16.6,166,4.3,6.7,78,0,0
22.9,12.6,104,2.5,4.4,92,0,0
24.4,13.6,28,7.9,8.4,84,0,0
24.4,15.8,20,3.2,1.5,94,0,0
26.1,17.9,43,17.6,7.2,-,1.8,1
21.7,12,32,20.5,0,-,85.6,1
21.5,15.8,267,23,1.4,-,13.2,1
21.5,14.8,242,20.2,6.3,-,1.2,1
20.3,11,150,7.6,4.5,-,0,0
21.5,10.9,135,4.7,7.7,-,0,0
21.5,13.3,112,6.1,3.6,-,0,0
23.5,15.6,57,16.2,8.6,-,0,0
23.9,20.1,48,20.9,6.7,-,2.6,1
20.7,16.8,51,5,0,-,52.6,1
19.8,15.9,342,9,0,-,2.2,1
22.4,15.5,335,7.9,5.8,90,7.2,1
21.5,14.5,356,10.1,6.7,76,3,1
21.1,13.8,302,10.8,7.6,81,1.4,1
20.6,12.2,187,6.8,8.2,83,0,0
20.6,10,94,2.2,10.4,-,0,0
19.3,13.1,219,20.5,8.8,80,0,0
19.7,9.2,138,4.3,5.4,70,0.2,1
18.3,13.8,179,5,0.3,71,0,0
21.8,10.6,132,10.4,4.6,88,0,0
21.2,14.8,154,7.6,5.9,75,0,0
19.6,9.4,196,4,9.1,95,0,0
21.2,9.2,120,1.4,10.2,98,0,0
21.8,9.5,91,2.5,10.1,98,0,0
22.5,12.2,47,5.8,8.4,89,0,0
22,16.6,56,8.3,6,94,0,0
18,13.9,286,19.8,0,-,26,1
18.8,11.7,180,14,3.3,73,4.6,1
16.4,6.8,180,7.6,9.9,71,0,0
16.7,5.5,80,2.9,10.2,93,0,0
18.2,11.9,226,32.4,5.1,62,6.6,1
17.3,13.3,202,16.6,5.1,77,0.6,1
18.2,7.8,88,1.8,6.2,97,0,0
18.8,8.2,61,2.9,9.7,100,0,0
19.1,10.1,319,2.5,2.5,98,0,0
20.9,11,77,1.8,3.4,99,0,0
20.8,13.8,48,10.8,4.5,88,0,0
20.5,16.3,46,18,2.5,90,2,1
19.5,12.3,192,21.6,0,-,60.6,1
15.2,10.8,171,8.3,0,63,10,1
15.6,5.4,202,5.4,9.8,93,0,0
16.2,9.9,349,5.8,7.2,92,0,0
17.3,9.6,70,8.3,2.1,73,0,0
17.9,14.3,34,41,0.6,95,25.4,1
20.6,16.1,270,41,3.1,89,3.8,1
18.3,13.2,228,22.3,0.3,86,0,0
16.1,12.3,263,31,1,76,0.8,1
17.3,8.7,130,10.1,4.4,50,3.8,1
14.3,2,79,2.9,9.4,91,0,0
15.3,2.2,57,4,9.6,94,0,0
16.7,8.5,8,4,6.1,92,0,0
19.5,6.3,177,3.2,4.2,-,4.8,1
18.1,6.5,52,7.6,5.7,-,0,0
19.1,13.2,260,1.8,5.6,-,9,1
17.3,12.1,302,2.5,3.4,-,1.4,1
18.8,12.1,216,4.7,8.9,-,0,0
18.8,11.7,61,2.5,8.7,90,0,0
18.1,12,50,7.6,3,94,0.6,1
18.1,8,75,3.6,7.8,-,0,0
18.1,10.6,117,10.8,4.6,91,0.8,1
16.2,11.2,157,9.4,0.6,83,11,1
15.8,5.8,68,1.1,5.2,90,0,0
16.7,9.4,75,5,7.7,89,0,0
17,5.7,82,3.6,3.6,98,0.4,1
16.1,7.3,52,2.2,3.8,97,16.6,1
16.3,6.6,122,6.8,7.1,93,3,1
14.4,4.8,110,2.9,9.4,95,0,0
15,8,229,21.6,9.2,84,0.2,1
16.5,7.4,117,3.2,4.9,89,0.6,1
15.3,8.4,334,4.7,9.1,96,0.2,1
16.6,10.7,336,6.8,4.5,95,0.2,1
17.1,12.8,230,48.6,3.8,71,2.8,1
14.8,8.6,132,7.6,5.2,70,0,0
15.3,10,234,11.9,4.9,90,0.2,1
16.8,7.7,167,3.6,4.7,98,0.4,1
13.2,7.4,136,2.9,3.1,-,0.2,1
16.7,8.2,72,4.3,2.8,97,0.6,1
17.6,7.6,26,2.2,1.4,97,0,0
18,10.2,67,14.8,8.2,77,0,0
16,13.8,66,20.9,0.8,94,5,1
17,12.9,256,2.5,0,-,3.4,1
15.2,11.3,222,25.9,0.6,-,2,1
14.2,10.8,350,4.7,0.7,86,2.8,1
17.6,9.4,235,19.1,5.7,88,1.8,1
14.7,3.3,102,0.4,6.9,96,0,0
14.2,4.6,233,4.3,9.2,95,0,0
15.6,7.7,119,2.2,6.5,97,0.6,1
16.4,3.8,350,1.4,9.1,99,0,0
15.8,7.2,34,29.9,4,90,1.6,1
16,10.2,64,9.4,0,99,21,1
15.5,10.7,352,7.6,3.2,95,9,1
16.4,8.9,75,3.2,3.7,100,7.8,1
16.1,10,134,3.2,4.4,-,0.2,1
15,10.1,66,10.4,1.7,-,12.8,1
15.7,11.1,68,5.8,1.5,-,25.4,1
16.6,6.7,65,5.4,1.6,-,0.2,1
17.2,10,16,5.8,5.1,-,11.4,1
16.6,10.9,219,15.1,2.9,-,7,1
15.3,8.4,5,4.3,7.4,-,6.2,1
15.3,8.5,230,22.3,8.3,-,4.2,1
12.1,4.4,204,14.8,4.4,-,1.2,1
11.1,6.7,204,18,2.1,-,6.8,1
11.5,4.6,99,3.6,0.5,-,1.2,1
13.8,4.1,80,3.6,8.6,-,0,0
15.3,6.7,60,1.8,5.5,-,0,0
15.2,9,93,4.7,2.1,-,0,0
16.4,5.7,72,5,0.7,-,0,0
17.5,9.5,55,16.2,3.7,-,0,0
17.3,11.3,316,16.6,0,-,24,1
14.4,10.2,306,14,2.3,-,22.6,1
14.7,8.6,40,3.6,0.5,-,6,1
15.9,10.1,256,11.9,3.2,-,2.4,1
15.7,9.8,284,11.5,4.8,-,2.2,1
15.6,9.1,239,10.8,5.2,-,1.8,1
15.5,8.7,2,10.8,7.5,-,0,0
15.6,9.6,250,15.8,2.9,-,16.4,1
14.3,6.3,175,8.6,3.8,-,0.2,1
11,0.4,145,2.5,9.6,-,0,0
13.4,1.3,66,4.3,9.8,-,0,0
14.1,6.3,341,4.3,9.1,-,0,0
17,10.2,57,12.2,2.9,-,8,1
15.5,10.8,128,13.7,0,-,1.6,1
14.3,3,158,4.7,1.3,-,0,0
14.5,3.4,195,1.4,9,-,0,0
15,7.4,40,19.4,7.3,-,0,0
16.3,12.7,343,5.4,1.5,-,4.6,1
19.6,13.1,35,17.3,6.9,-,0,0
17.6,14.3,31,25.2,1.9,-,12.4,1
16.3,11,332,9.4,0,-,14.8,1
16.5,8.7,307,8.6,4.3,-,4.8,1
15.8,10.9,292,29.5,5.8,-,0.4,1
17,10.2,355,6.5,1.3,-,0,0
18.1,10.8,19,10.1,6.1,-,5.4,1
15.4,8.2,303,14,6.1,-,8.2,1
16.4,9.3,317,13,6.9,-,0.2,1
17.2,10.7,2,10.4,6.2,-,0.4,1
16.6,10.1,352,2.9,0.4,-,1.4,1
17,11.5,9,9.7,2.2,-,0.4,1
17.2,10.2,274,30.2,2.3,-,7.2,1
17.2,10.6,177,9.4,7.4,-,2.2,1
15.4,7.4,120,4.3,8.5,-,0,0
15.3,3.4,315,1.1,9.3,-,0,0
16.8,4.8,42,0.7,8.2,-,0,0
16.9,5.3,61,8.3,9.2,-,0,0
16.8,6.9,82,4.3,10.2,-,0,0
17,10.8,56,23.4,5.3,-,0,0
16.2,13.6,21,16.6,1.1,-,8.2,1
17.8,10.7,318,7.2,3.1,-,8,1
18,8.9,185,4.7,9.6,-,8.2,1
17.5,10.9,281,2.5,3.1,-,20,1
17.5,9.3,52,8.3,7,-,0,0
18.2,9.6,106,11.5,4.2,-,10.4,1
17,10.2,191,12.6,1.9,-,8,1
15.9,10.2,213,19.4,4,-,0,0
16.5,10.3,280,7.9,8.8,-,0.2,1
17.6,13.3,13,9.4,0.2,90,9.8,1
16.2,12.8,338,7.6,5,77,1.2,1
17.1,9.9,284,15.5,7.4,70,1.4,1
17.1,11.4,345,13,3.3,88,6.2,1
14.7,7.2,269,31,4.2,80,8,1
13.8,7,261,31.7,4.4,72,3.6,1
14.1,8,246,40,7.6,70,2,1
15.7,10.1,282,16.9,7.9,70,1.4,1
17.5,13.6,260,27.4,1,76,0,0
19.3,12.2,27,19.1,9.5,70,0,0
19.4,12.2,275,28.4,7,73,6.6,1
17.2,9.3,4,6.5,3.4,81,4.4,1
18.4,8.8,270,28.8,4.7,78,10.6,1
14.7,8.7,170,12.2,10.8,70,6.4,1
16.4,6,252,11.2,9.6,70,0,0
18.7,11.4,335,9.4,6.8,83,1.6,1
17.6,10.3,153,8.6,4.6,88,1.8,1
15.4,11.4,202,16.9,8.8,73,0,0
16.6,12.1,259,16.9,7.4,75,0,0
19,13.1,350,5,1,78,0,0
18.4,14.4,28,13.7,0.5,78,0,0
19.5,12.9,222,5.4,5.1,78,9,1
18.9,12.3,217,14.8,10.3,79,0,0
18.7,10.6,321,8.6,1.3,86,0,0
18.7,10.8,135,3.2,6.1,81,2.8,1
18,9.7,33,21.6,2.5,87,2,1
15.8,10.2,236,52.2,4.5,72,14.4,1
17.4,12.1,237,27,8.4,76,0,0
18.1,12.6,220,22,2.9,69,0,0
17.7,12.7,223,25.2,3.5,80,0,0
18.4,10.9,60,6.1,2.2,76,0,0
19.6,13.2,18,8.3,0.1,78,0,0
18.1,13.6,43,25.9,2.2,-,12.2,1
20,13.6,16,9.7,3.2,-,3.2,1
19.5,14,8,5.4,1.8,-,0,0
19.4,13.3,263,29.5,6,-,2,1
17.3,11.3,232,31,6.9,-,0.2,1
18.4,11.8,286,11.5,0.9,-,0,0
18.2,13.2,197,10.8,9,-,2.4,1
19.5,11.1,228,34.6,7.9,-,0,0
17.3,11.7,229,33.1,5.4,-,0,0
18.5,12.3,220,29.9,5.4,-,0,0
16.9,12.6,220,26.6,5.4,68,0,0
16.6,5.7,189,5.8,12,51,0,0
17.3,12.2,220,23,0.8,79,0,0
17.6,12.5,239,31.3,0.8,84,0,0
17.5,13.1,296,21.2,0,84,0,0
17.5,12.4,38,20.9,2.3,95,4.2,1
17.8,12,259,18,9.1,73,10.2,1
18.5,13.2,239,24.1,3.1,75,0.6,1
18.9,13.6,283,25.2,0.8,85,0,0
20.2,14.3,335,9,0.7,91,0.4,1
19.1,14.4,63,8.3,0,97,9.2,1
18.8,14.8,60,11.9,3.4,82,0,0
21.4,14.2,65,13.3,6.2,81,0.6,1
20.4,10.8,65,15.1,11.1,74,0,0
21.6,13.8,62,21.6,5.4,66,0,0
20,14.9,55,22.7,4.2,71,0,0
20.5,15.8,35,25.6,0.4,85,2,1
20.2,16.8,34,9.7,0.3,83,0.2,1
20.4,13.6,306,9,7.4,85,3.4,1
22.5,13.6,224,25.2,11.1,66,0,0
18.4,9,60,9.7,11.1,57,0,0
19.2,14.1,247,31,4.9,94,8,1
18.3,12.3,218,11.2,9.2,64,0,0
18.5,12.9,195,15.8,0.9,69,0,0
17.8,12,151,13.7,2.8,62,0,0
19.3,12.1,194,16.6,13,59,0,0
17.9,9.4,260,3.2,5.3,73,0,0
20.1,11.1,34,5.8,7.4,70,0.2,1
19.9,9,55,11.5,7.1,66,0.4,1
21.1,10.9,100,7.2,11.8,62,0,0
21.1,12.5,138,10.4,9.8,66,0,0
22.6,14.2,133,16.2,0,63,0,0
21.2,12.3,182,10.1,3.2,88,5.4,1
20.3,12.9,159,13.3,8.2,54,0.6,1
25.5,12.9,41,10.1,13,67,0,0
24.2,14.8,59,13.3,6.3,68,0,0
22.6,12.5,310,7.2,13.6,74,0,0
24.4,15.6,219,14.4,7.9,78,0,0
23.7,14.7,44,9,2,76,0,0
22.4,16,73,10.1,4.3,71,0,0
23.2,14.7,58,14.8,9.2,64,0,0
23.4,16.3,52,12.2,2,70,0,0
23.7,15,41,7.6,4.9,52,0,0
23.8,15.7,217,8.6,2.7,86,5,1
23.5,13.4,72,6.1,9,76,3.4,1
23.8,13,53,9.7,12.6,65,0,0
23.8,13.1,346,2.9,11.2,66,0,0
26.3,14,216,7.9,14,74,0,0
25.5,15.8,227,6.8,4.1,78,0,0
25.5,16.3,241,4,11.5,67,0,0
26,15.3,60,11.5,12.5,65,0,0
25.4,16.8,62,13.3,5.4,66,0.6,1
25.4,18.8,22,14.8,11.9,69,0,0
25.7,18.1,1,9,2.4,69,0,0
25.3,18.2,297,8.3,11.3,66,1,1
26.5,18.3,213,15.8,10.9,68,1,1
25.1,18.4,211,19.8,11.8,66,0,0
25.7,16.1,212,18,10.2,68,3.8,1
25.3,14.9,47,10.8,10.7,60,0,0
25.1,16.6,246,17.3,7.2,72,0,0
25.5,17,164,6.1,10.6,71,0,0
27.2,18.2,244,16.6,4.1,79,0,0
26.5,17.8,241,21.2,10.2,60,0,0
23.8,18.5,222,37.8,8.3,63,0,0
21.7,16.3,210,22,12.4,60,0,0
23.8,18.4,306,2.9,3.3,81,0,0
25.6,18.4,45,19.4,7.1,64,0,0
23.8,17.1,51,18.7,10.5,64,0,0
25,15.6,51,15.8,8.5,63,0,0
25,17.7,334,7.6,1.7,95,2.8,1
23.3,16.7,204,18,11.8,60,0.2,1
23,13.2,182,14,11,38,0,0
20.4,15,198,19.8,13.4,62,0,0
23.2,14.3,246,5.4,13.3,74,0,0
24.6,13.7,281,7.2,6.5,68,0,0
